"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"47662099999","2025-01-01","35.6833333","139.7666667","36.0","TOKYO, JA","  43.7","24","  21.6","24","1016.2","24","013.3","24"," 21.3"," 7","  4.1","24","  8.9","999.9","  52.5","*","  36.3","*"," 0.00","G","999.9","000000"
"47662099999","2025-01-02","35.6833333","139.7666667","36.0","TOKYO, JA","  47.1","24","  31.3","24","1014.9","24","011.9","24"," 18.6"," 7","  3.3","24","  5.1","999.9","  56.5","*","  35.8"," "," 0.00","G","999.9","000000"
"47662099999","2025-01-03","35.6833333","139.7666667","36.0","TOKYO, JA","  40.3","24","  34.1","24","1015.5","24","012.5","24"," 15.1"," 7","  4.6","24","  8.9","999.9","  44.2","*","  35.4","*"," 0.00","G","999.9","010000"
"47662099999","2025-01-04","35.6833333","139.7666667","36.0","TOKYO, JA","  40.3","24","  21.1","24","1021.8","24","018.8","24"," 20.0"," 7","  3.7","24","  7.0","999.9","  48.7","*","  32.9","*"," 0.00","G","999.9","000000"
"47662099999","2025-01-05","35.6833333","139.7666667","36.0","TOKYO, JA","  41.1","24","  28.1","24","1022.5","24","019.5","24"," 17.8"," 7","  2.8","24","  5.1","999.9","  48.7","*","  31.6"," "," 0.00","G","999.9","000000"
"47662099999","2025-01-06","35.6833333","139.7666667","36.0","TOKYO, JA","  41.7","24","  37.3","24","1007.1","24","004.1","24"," 10.7"," 7","  3.8","24","  8.0","999.9","  46.0","*","  34.7"," "," 0.00","G","999.9","010000"
"47662099999","2025-01-07","35.6833333","139.7666667","36.0","TOKYO, JA","  46.1","23","  29.7","23","1003.1","23","000.1","23"," 18.1"," 6","  4.6","23","  9.9","999.9","  55.2","*","  37.2","*"," 0.98","G","999.9","010000"
"47662099999","2025-01-08","35.6833333","139.7666667","36.0","TOKYO, JA","  43.5","23","  20.7","23","1009.6","23","006.6","23"," 17.8"," 7","  4.9","23","  8.9","999.9","  52.3","*","  36.9"," "," 0.00","G","999.9","000000"
"47662099999","2025-01-09","35.6833333","139.7666667","36.0","TOKYO, JA","  43.2","23","  15.2","23","1007.4","23","004.5","23"," 19.2"," 6","  5.5","23","  9.9","999.9","  53.6","*","  34.2","*"," 0.00","G","999.9","000000"
"47662099999","2025-01-10","35.6833333","139.7666667","36.0","TOKYO, JA","  39.8","24","  17.0","24","1017.3","24","014.3","24"," 21.3"," 7","  6.3","24"," 13.0","999.9","  47.8","*","  32.2"," "," 0.00","G","999.9","000000"
